,150,150,,黒髪乱れし修羅となりて,XG2,EXT,8.10,,"150 BPM 연습곡은
이게 최고인듯",,155,155,,OVERHEAT -Type GD-,GITADORA,MAS,8.45,,,,,,,,,,,,
,150,150,,Riot of Color,XG3,MAS,9.15,,탐돌이 어려움,,157,157,,Imitation Touch,XG,MAS,7.85,,,,,,,,,,,,
,158,158,,Russian Caravan Rhapsody,Tri-Boost,EXT,9.00,,체력곡,,,,,,,,,,,,,,,,,,,,
,▼ 여기서부터 살짝 빡센 고BPM (160 bpm~) ▼,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,160,160,,Shake and Shout!!,XG,MAS,7.70,,,,164,164,,Aion,Matixx,EXT,8.30,,손이 어려움,,160,160,,Rosetta Stone,GITADORA,MAS,9.15,,후반에 길게 나옴
,160,160,,愛と勇気の三度笠ポン太,GITADORA,EXT,8.45,,"유사 DK
※스킬 꿀곡",,165,165,,Hexer,FUZZ-UP,MAS,9.40,"해금곡
(현재
이벤
트)",손이 어려움,,160,160,,Summer '64,OverDrive,MAS,8.60,,"왼발이 많아서
먼저 왼발을 잘하는 게 선행되어야 함"
,162,162,,NEW LEGEND,XG3,EXT,8.60,,그냥 이거 해,,170,170,,弾幕信仰,GALAXY WAVE,MAS,8.80,"해금곡
(현재
이벤트)","후반에 짧게 나옴
뚜벅이도 있어서
복합적으로 연습됨",,160,160,,ミカヅキ:コネクト,Matixx,MAS,9.50,,"중반에 살짝 나옴
다른 패턴이 더 어려움"
,162,162,,Saiph,HIGH-VOLTAGE,EXT,9.10,,체력곡,,170,170,,CALAMITY PHOENIX,XG,MAS,8.95,,"12비트 DK
16비트 DK
둘 다 나옴",,168,168,,恋歌疾風！かるたクイーンいろは,GALAXY WAVE,MAS,9.10,,"후반에 나오는데
나사 빠진 DK임"
,163,163,,BlackCult,FUZZ-UP,MAS,8.20,,"체력곡
(되게 어려움)",,175,175,,拍子迷宮,Tri-Boost Re:EVOLVE,MAS,9.00,,"박자미궁2보다
손이 더 빡셈",,180,180,,Snow Falcon,GALAXY WAVE,MAS,9.00,"해금곡
(현재
이벤트)","탐돌 패턴이
말이 안되게 어려움"
,165,165,,Immortal Bind,V4,EXT,8.15,,,,176,176,,閉塞的フレーション,GALAXY WAVE,MAS,8.10,"해금곡
(현재
이벤트)","풀콤방지 DK인데
연습이 되려나...?",,180,180,,Zero Visibility,GALAXY WAVE,MAS,9.70,"해금곡
(현재
해금이벤트)","DK 하면서
LLRR이 힘듦
중반 막장패턴 조심"
,168,168,,PATRIOT'S DREAM (美しく花と散れ),GITADORA,EXT,8.25,,애 국 자,,180,180,,リドル,EXCHAIN,MAS,8.25,,"짧게짧게 자주 나옴
180 찍먹용으로
해볼만한듯...?",,,,,,,,,,
,170,170,,Hyperseven type K,GITADORA,EXT,8.40,,,,180,180,,800nm,XG3,EXT,8.00,,,,,,,,,,,,
,170,170,,終わらぬ涙の海で,HIGH-VOLTAGE,MAS,9.00,,"체력곡
※스킬 꿀곡",,180,180,,ギタドラシカ,"Tri-Boost
Re:EVOLVE",MAS,9.00,,"왼발 연습 병행
(체력곡)",,,,,,,,,,
,170,170,,memento mori -intro-,GITADORA,EXT,8.85,,크로스 패턴,,180,180,,マインド・ゲーム,GITADORA,EXT,8.40,,너무 어려움ㅋㅋ,,,,,,,,,,
,172,172,,ゲームより愛を込めて,XG2,MAS,9.40,,"2연 탐돌이
굉장히 어려움
(EXT로 연습)",,180,180,,Far East Nightbird (GITADORA Remix),GALAXY WAVE,MAS,8.70,"해금곡
(스킬
10곡)","중반에
깔짝깔짝 대는
DK가 나옴",,,,,,,,,,
,174,174,,Kazekiri Rumble,HIGH-VOLTAGE,EXT,8.55,DX 해금곡,"딱 2마디씩
띄엄띄엄 나옴
고BPM DK 순한맛
※스킬 꿀곡",,184,184,,輝石のDESTINATION feat. 花たん,GALAXY WAVE,MAS,8.80,,패턴이 좀 더러움,,,,,,,,,,
,,,,Kazekiri Rumble,HIGH-VOLTAGE,MAS,9.30,DX 해금곡,"DK 잘하면
9.30 치곤 물렙",,184,184,,ノクチルカ,GALAXY WAVE,MAS,9.50,,탐돌리기 + DK,,,,,,,,,,
,174,174,,ほおずき程度には赤い頭髪,Tri-Boost,MAS,9.10,,,,"186
(202.5)","135
~
186",,Obsidian,GITADORA,EXT,8.85,,"극초반 101.25 12비트
초반 202.5 24비트
후반 186 16비트",,,,,,,,,,
,175,173,,拍子迷宮2,NEX+AGE,MAS,8.00,DX 해금곡,,,187,"100
~
187",,Ouroboros,FUZZ-UP,MAS,9.60,"해금곡
(현재
이벤
트)","12비트 16비트
DK 섞여있음",,,,,,,,,,
,175,175,,暗黒舞踏会,XG3,EXT,9.15,,,,,,,,,,,,,,,,,,,,,,
,178,178,,真っ白な闇がすべてを塗り替えても,FUZZ-UP,MAS,9.00,,"체력곡
(체감상 9.30)",,,,,,,,,,,,,,,,,,,,
,178,178,,Burning Cremation,Tri-Boost,MAS,8.65,,,,,,,,,,,,,,,,,,,,,,
,178,"178
~
267",,Noli Me Tangere,OverDrive,EXT,8.85,,,,,,,,,,,,,,,,,,,,,,
,180,180,,Destiny Wings,Tri-Boost,MAS,8.35,,그냥 이거 해,,,,,,,,,,,,,,,,,,,,
,180,180,,PUNISHER,GITADORA,EXT,8.95,,,,,,,,,,,,,,,,,,,,,,
,180,180,,Victoria,Matixx,MAS,9.10,,,,,,,,,,,,,,,,,,,,,,
,180,180,,STULTI,GITADORA,MAS,9.25,,"크로스 DK
크아악",,,,,,,,,,,,,,,,,,,,
,180,180,,ネクロファンタジア 〜 Remix,HIGH-VOLTAGE,MAS,9.10,,"존나 힘드니
각오하고 할 것",,,,,,,,,,,,,,,,,,,,
,182,182,,準備運動,Tri-Boost Re:EVOLVE,MAS,9.00,,"한국에서 검열된
자켓임",,,,,,,,,,,,,,,,,,,,
,182,182,,heliodor,OverDrive,MAS,9.10,,"발박자 어려우면
EXT 채보로
박자 익히기",,,,,,,,,,,,,,,,,,,,
,184,"108
~
184",,RAGNAROK,GITADORA,EXT,8.45,,,,,,,,,,,,,,,,,,,,,,
,184,184,,DESTINY,XG2,EXT,8.95,,"체력곡
※스킬 꿀곡",,,,,,,,,,,,,,,,,,,,
,185,185,,Our Faith (Faithful MTL Remix),"Tri-Boost
Re:EVOLVE",MAS,8.60,,"약~간 체력곡
※스킬 꿀곡",,,,,,,,,,,,,,,,,,,,
,186,186,,SUPER HEROINE!!,GALAXY WAVE,MAS,8.20,"해금곡
(현재
이벤트)",스네어 + DK,,,,,,,,,,,,,,,,,,,,
,187,187,,LIGHTNING,"Tri-Boost
Re:EVOLVE",MAS,8.00,,,,,,,,,,,,,,,,,,,,,,
,188,188,,ホーンテッド★メイドランチ,GITADORA,EXT,8.65,,"우라우라메시야
우라메시야",,,,,,,,,,,,,,,,,,,,
,189,189,,Arena Deiporta,HIGH-VOLTAGE,MAS,8.80,DX 해금곡,,,,,,,,,,,,,,,,,,,,,
,189,189,,Arena Sexaboris,GITADORA,EXT,8.65,,,,,,,,,,,,,,,,,,,,,,
,"▼ 여기서부터는 드럼 치는 고릴라 ▼ (190~200 bpm & 200~210 bpm & 220~ bpm)
(오락실 사장님이 싫어함)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,190,190,,全弦開放（イーマイナーイレブン）,EXCHAIN,MAS,7.85,DX 해금곡,190 bpm 찍먹용,,200,200,,LET IT ROLL,GALAXY WAVE,MAS,8.60,"해금곡
(현재
해금이벤트)","8비트 밟다가
16비트 DK 나옴",,220,220,,Spiral Wind,,,,,
,190,190,,怒りと共に去りぬ！！,Tri-Boost,MAS,8.45,,자 전 거,,200,100,,輪廻転生,Tri-Boost,MAS,9.35,,,,223,223,,REALIZE,XG2,EXT,9.92,,"셔터쾅
조심"
,190,190,,お米の美味しい炊き方、そしてお米を食べることによるその効果。,GITADORA,EXT,9.30,,"오 꼬 메
(손이 더 어려운듯)",,200,200,,Secret Raid,FUZZ-UP,MAS,9.40,DX 해금곡,탐돌이 더 어려움,,225,"158
~
244",,Bereavement ,HIGH-VOLTAGE,MAS,9.55,,"셔터쾅
조심"
,190,"145
~
190",,DAWN,XG2,EXT,8.95,,"초반 154 bpm
후반 190 bpm",,200,200,,ランカーキラーガール,NEX+AGE,MAS,9.00,,"짧게 자주 나옴
판정 쌓는 용으로
연습하면 될듯",,225,225,,voltississimo (GITADORA STYLE),EXCHAIN,MAS,9.50,,후살;;;;;;
,190,"80
~
190",,背徳と邪悪のエピタフ,FUZZ-UP,MAS,8.40,"해금곡
(현재
이벤
트)",,,200,100,,Garden feat. yosumi,FUZZ-UP,MAS,8.60,"해금곡
(현재
이벤
트)","8비트 DK 나오다
후살에 16비트 DK",,225,150,,MODEL DD10,XG3,MAS,9.50,,"16비트 DK
이후
24비트 DK"
,190,190,,Duality,FUZZ-UP,MAS,8.85,DX 해금곡,"16비트 찔끔찔끔
자주 나옴",,200,200,,夢色☆スパイラル!!!!!,Matixx,MAS,9.50,DX 해금곡,,,228,114,,EMPIRE OF FLAME,NEX+AGE,MAS,9.20,DX 해금곡,"셔터쾅
조심"
,190,190,,Be a Hero!,Matixx,MAS,9.15,,개좃빠지게 힘듦,,200,400,,Funky sonic World,9thMIX,MAS,9.60,,개좃빠지게 힘듦,,230,230,,We Go Down,"Tri-Boost
Re:EVOLVE",MAS,9.00,,
,192,192,,Insania,OverDrive,EXT,8.30,,"깔짝깔짝 나옴
후반에 4마디 DK",,200,200,,BLACK ROSES,"Tri-Boost
Re:EVOLVE",MAS,9.86,,,,232,116,,War evasion,OverDrive,MAS,9.15,,"셔터쾅
조심"
,192,192,,Heaven or Hell,GALAXY WAVE,MAS,9.10,"해금곡
(현재
이벤
트)","찔끔찔끔 나오는데
연습하기 좋음",,200,200,,悠久のPEGASUS,Tri-Boost,MAS,9.92,,개좃빠지게 힘듦,,232.5,155,,MODEL FT4,Matixx,MAS,9.80,DX 해금곡,"노트 24개 나옴
(연습곡은 아닌듯??)"
,192,192,,朧月覆う雲をも裂きぬ,FUZZ-UP,MAS,9.25,"해금곡
(현재
이벤
트)","동시치기 머임???
체력 소모 심함",,202.5,135,,The New Myth,Tri-Boost,MAS,9.65,,"24비트 DK
후반 개미친 박자",,237,158,,White Forest,"Tri-Boost
Re:EVOLVE",MAS,9.92,,"16비트 DK
이후
24비트 DK"
,194,194,,DEATH BRINGER,OverDrive,MAS,9.05,,오른팔 아픔,,205,205,,"10,000,000,000",XG,MAS,9.35,,체력곡,,246,246,,Xenocross,HIGH-VOLTAGE,MAS,9.70,DX 해금곡,"셔터쾅
조심"
,196,196,,GLOW DOMINATE THE DARKNESS,HIGH-VOLTAGE,MAS,9.20,,,,205,205,,ちくわパフェだよ☆CKP (Yvya Remix),FUZZ-UP,MAS,9.55,"해금곡
(현재
이벤
트)","후반에 24비트
(307.5 bpm?!)
필인나옴",,"232.5
~
247.5","136
~
230",,MODEL DD ULTIMATES,OverDrive,MAS,9.96,,"노트 19개 나옴
(치면서 BPM 증가함)"
,197,197,,TOXIC VIBRATION,OverDrive,MAS,9.10,,체력곡,,206,"156
~
206",,鬼は内　外の福,FUZZ-UP,MAS,8.60,DX 해금곡,"막판에 16비트 DK
짧게 나오는데
스네어 연타라 넣음",,252,252,,Stay By My Side,GALAXY WAVE,MAS,9.75,"해금곡
(현재
앙코르)","12비트 DK
16비트 DK
섞여있음"
,198,198,,IX -GITADOROCK ver.-,GITADORA,MAS,9.10,,,,208,208,,バンブーソード・ガール,OverDrive,MAS,9.95,,개좃빠지게 힘듦,,270,"80
~
180",,MODEL DD11,Tri-Boost,MAS,9.75,,"극후반에
노트 12개 나옴"
,,,,,,,,,,,210,"160
~
210",,我甘党,FUZZ-UP,MAS,8.40,,"초반부터 210BPM
후반에 160BPM",,300,"150
~
200",,SEASONS,Tri-Boost,MAS,9.00,,딱 노트 7개 나옴
,,,,,,,,,,,210,210,,Clove,HIGH-VOLTAGE,MAS,8.90,DX 해금곡,DK 짧게 자주 나옴,,"300
(150)",200,,LIPS NOISE HUNTER,Matixx,MAS,9.25,,"12비트 밟는 도중에
24비트 갑툭튀"
,,,,,,,,,,,210,210,,悪魔のハニープリン,EXCHAIN,MAS,9.10,DX 해금곡,"좌심벌
레이저 있음",,312?,208,,バンブーソード・ガール,OverDrive,EXT,9.95,,"DK는 아닌데
동시밟기 3개
+오른발 1개 나옴"
,,,,,,,,,,,210,210,,LAS-BOS,EXCHAIN,MAS,9.80,,,,,,,,,,,,
,,,,,,,,,,,214,214,,The Metal Warrior,EXCHAIN,MAS,9.75,DX 해금곡,,,,,,, ,,,,
,,,,,,,,,,,217,217,,Crescent:Letter,FUZZ-UP,MAS,9.85,"해금곡
(현재
해금이벤트)",,,,,,,,,,,
,,,,,,,,,,,217.5,145,,一網打尽,V4,MAS,9.45,,쌈바킥이 더 어려움,,,,,,,,,,
